Name,Adress,Adress2,Zip,Grade,Score,Latitude,Longitude,Coordinates
Bistro,"600 Sand Hill Rd ,Palo Alto, Ca 94304","600 SAND HILL RD ,PALO ALTO, CA 94304",94304,Pass,94,37.441875,-122.174825,"(37.441875,-122.174825)"
Ronald Mcdonald House,"510 Sand Hill Rd,Palo Alto, Ca 94304","510 SAND HILL RD,PALO ALTO, CA 94304",94304,Pass,100,37.440634,-122.174552,"(37.440634,-122.174552)"
Forbes Family Cafe,"475 Via Ortega ,Stanford, Ca 94305","475 VIA ORTEGA ,STANFORD, CA 94305",94305,Pass,92,37.42793,-122.174297,"(37.42793,-122.174297)"
St-Tds Foods-Peets/Clark Center,"318 Campus Dr ,Stanford, Ca 94305","318 CAMPUS DR ,STANFORD, CA 94305",94305,Pass,97,37.431403,-122.174293,"(37.431403,-122.174293)"
St-Enchanted Broccoli Forest,"1115 Campus Dr ,Stanford, Ca 94305","1115 CAMPUS DR ,STANFORD, CA 94305",94305,Pass,84,37.422282,-122.174253,"(37.422282,-122.174253)"
Bytes Cafe,"350 Serra Mall ,Stanford, Ca 94305","350 SERRA MALL ,STANFORD, CA 94305",94305,Pass,88,37.429528,-122.17379,"(37.429528,-122.17379)"
Nordstrom Bazille,"200 Arboretum Rd ,Palo Alto, Ca 94304","200 ARBORETUM RD ,PALO ALTO, CA 94304",94304,Pass,83,37.439117,-122.173563,"(37.439117,-122.173563)"
St-Jerry Fraternity,"658 Lomita Ct ,Stanford, Ca 94305","658 LOMITA CT ,STANFORD, CA 94305",94305,Pass,98,37.421075,-122.173529,"(37.421075,-122.173529)"
664 Lomita,"664 Lomita Ct ,Stanford, Ca 94305","664 LOMITA CT ,STANFORD, CA 94305",94305,Pass,97,37.421128,-122.173499,"(37.421128,-122.173499)"
Denning House,"580 Lomita Dr,Stanford, Ca 94580","580 LOMITA DR,STANFORD, CA 94580",94580,Pass,100,37.42276,-122.173316,"(37.42276,-122.173316)"
Vina Enoteca,"700 Welch Rd,Palo Alto, Ca 94304","700 WELCH RD,PALO ALTO, CA 94304",94304,Pass,85,37.437539,-122.173038,"(37.437539,-122.173038)"
St-Treehouse Restaurant,"520 Lagunita Dr ,Stanford, Ca 94305","520 LAGUNITA DR ,STANFORD, CA 94305",94305,Pass,85,37.423204,-122.17277,"(37.423204,-122.17277)"
Crate & Barrel-Stanford,"530 Stanford Shopping Ctr 403,Palo Alto, Ca 94304","530 STANFORD SHOPPING CTR 403,PALO ALTO, CA 94304",94304,Pass,100,37.439412,-122.172668,"(37.439412,-122.172668)"
Neiman-Marcus Restaurant,"400 Stanford Shopping Center,Palo Alto, Ca 94304","400 STANFORD SHOPPING CENTER,PALO ALTO, CA 94304",94304,Pass,93,37.443566,-122.172497,"(37.443566,-122.172497)"
Sigona Farmers Mkt,"399 Stanford Shopping Center ,Palo Alto, Ca 94304","399 STANFORD SHOPPING CENTER ,PALO ALTO, CA 94304",94304,Pass,88,37.443368,-122.172259,"(37.443368,-122.172259)"
Schaub'S Meat Fish & Poultry,"395 Stanford Shopping Center,Palo Alto, Ca 94304","395 STANFORD SHOPPING CENTER,PALO ALTO, CA 94304",94304,Pass,96,37.443427,-122.172188,"(37.443427,-122.172188)"
Nordstrom #422-Espresso Bar,"550 Stanford Shopping Center ,Palo Alto, Ca 94304","550 STANFORD SHOPPING CENTER ,PALO ALTO, CA 94304",94304,Pass,79,37.439353,-122.172178,"(37.439353,-122.172178)"
Sprinkles Cupcakes,"393 Stanford Shopping Ctr ,Palo Alto, Ca 94304","393 STANFORD SHOPPING CTR ,PALO ALTO, CA 94304",94304,Pass,100,37.443448,-122.172174,"(37.443448,-122.172174)"
St-Florence Moore Hall,"436 Mayfield Av ,Stanford, Ca 94305","436 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,97,37.422132,-122.172128,"(37.422132,-122.172128)"
Mcdonald'S,"208 Stanford Shopping Ctr,Palo Alto, Ca 94304","208 STANFORD SHOPPING CTR,PALO ALTO, CA 94304",94304,Pass,95,37.445329,-122.171989,"(37.445329,-122.171989)"
Ike'S Togo Inc.,"355 Roth Wy # 103,Stanford, Ca 94305","355 ROTH WY # 103,STANFORD, CA 94305",94305,Pass,70,37.432386,-122.171876,"(37.432386,-122.171876)"
Gourmet Franks,"199 Stanford Shopping Center ,Palo Alto, Ca 94305","199 STANFORD SHOPPING CENTER ,PALO ALTO, CA 94305",94305,Pass,83,37.445211,-122.171853,"(37.445211,-122.171853)"
Blend Eatery,"382 North South Axis,Stanford, Ca 94305","382 NORTH SOUTH AXIS,STANFORD, CA 94305",94305,Pass,84,37.432548,-122.171702,"(37.432548,-122.171702)"
Taro San Japanese Noodle Bar,"180 El Camino Real Unit 717,Palo Alto, Ca 94304","180 EL CAMINO REAL UNIT 717,PALO ALTO, CA 94304",94304,Pass,65,37.443633,-122.171412,"(37.443633,-122.171412)"
Macy'S West Inc  Stanford,"300 Stanford Shopping Center ,Palo Alto, Ca 94304","300 STANFORD SHOPPING CENTER ,PALO ALTO, CA 94304",94304,Pass,97,37.44291,-122.171267,"(37.44291,-122.171267)"
La Baguette,"170 Stanford Shopping Center ,Palo Alto, Ca 94304","170 STANFORD SHOPPING CENTER ,PALO ALTO, CA 94304",94304,Pass,70,37.44509,-122.17126,"(37.44509,-122.17126)"
Stanford Faculty Club,"439 Lagunita Av,Stanford, Ca 94305","439 LAGUNITA AV,STANFORD, CA 94305",94305,Pass,92,37.42514,-122.171117,"(37.42514,-122.171117)"
Asap California Pizza Kitchen,"136 Stanford Shopping Ctr ,Palo Alto, Ca 94304","136 STANFORD SHOPPING CTR ,PALO ALTO, CA 94304",94304,Pass,89,37.444702,-122.170726,"(37.444702,-122.170726)"
Lottie'S Creamery Stanford Shopping Center,"660 Stanford Shopping Center 240C,Palo Alto, Ca 94304","660 STANFORD SHOPPING CENTER 240C,PALO ALTO, CA 94304",94304,Pass,90,37.442575,-122.170618,"(37.442575,-122.170618)"
Garden Cafe,"401 Quarry Rd ,Stanford, Ca 94305","401 QUARRY RD ,STANFORD, CA 94305",94305,Pass,67,37.438574,-122.170597,"(37.438574,-122.170597)"
St-Old Union Diner - The Axe & Palm,"520 Lasuen Mall,Stanford, Ca 94305","520 LASUEN MALL,STANFORD, CA 94305",94305,Pass,87,37.425256,-122.170436,"(37.425256,-122.170436)"
St-Theta Delta Chi,"675 Lomita Dr ,Stanford, Ca 94305","675 LOMITA DR ,STANFORD, CA 94305",94305,Pass,98,37.420978,-122.170323,"(37.420978,-122.170323)"
Stadium Grille/The Catch - S102,"450 Serra Mall,Stanford, Ca 943057210","450 SERRA MALL,STANFORD, CA 943057210",57210,Pass,79,37.427478,-122.170321,"(37.427478,-122.170321)"
Pinkberry,"680 Stanford Shopping Center Ste 14,Palo Alto, Ca 94304","680 STANFORD SHOPPING CENTER STE 14,PALO ALTO, CA 94304",94304,Pass,90,37.442868,-122.170185,"(37.442868,-122.170185)"
Starbucks Coffee #2822,"79 Stanford Shopping Ctr,Palo Alto, Ca 94303","79 STANFORD SHOPPING CTR,PALO ALTO, CA 94303",94303,Pass,90,37.443829,-122.17008,"(37.443829,-122.17008)"
Cocola Stanford,"715 Stanford Shopping Ctr,Palo Alto, Ca 94304","715 STANFORD SHOPPING CTR,PALO ALTO, CA 94304",94304,Pass,74,37.443154,-122.169836,"(37.443154,-122.169836)"
St-La Casa Italiana,"562 Mayfield Av,Stanford, Ca 94305","562 MAYFIELD AV,STANFORD, CA 94305",94305,Pass,91,37.421806,-122.168975,"(37.421806,-122.168975)"
St-Synergy House,"550 San Juan St ,Stanford, Ca 94305","550 SAN JUAN ST ,STANFORD, CA 94305",94305,Pass,83,37.419396,-122.168967,"(37.419396,-122.168967)"
St-Phi Sigma House,"1018 Campus Dr,Stanford, Ca 94305","1018 CAMPUS DR,STANFORD, CA 94305",94305,Pass,96,37.420515,-122.168937,"(37.420515,-122.168937)"
"St-Robert S Moore House South ""Bob""","566 Mayfield Av ,Stanford, Ca 94305","566 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,92,37.421378,-122.168815,"(37.421378,-122.168815)"
Stanford University Bookstore,"519 Lasuen St ,Stanford, Ca 94305","519 LASUEN ST ,STANFORD, CA 94305",94305,Pass,95,37.424825,-122.168699,"(37.424825,-122.168699)"
Stanford Mars House,"553 Mayfield Av ,Stanford, Ca 94305","553 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,85,37.422618,-122.168646,"(37.422618,-122.168646)"
Zoomcaffe Hover,"211 Quarry Rd,Palo Alto, Ca 94306","211 QUARRY RD,PALO ALTO, CA 94306",94306,Pass,97,37.441122,-122.168568,"(37.441122,-122.168568)"
St-Sigma Nu House,"557 Mayfield Av ,Stanford, Ca 94305","557 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,97,37.422286,-122.168391,"(37.422286,-122.168391)"
St-The Coho,"459 Lagunita Av 1,Stanford, Ca 94305","459 LAGUNITA AV 1,STANFORD, CA 94305",94305,Pass,87,37.423438,-122.168317,"(37.423438,-122.168317)"
St-Grove House,"584 Mayfield Av ,Stanford, Ca 94305","584 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,95,37.420431,-122.168074,"(37.420431,-122.168074)"
St-Hillel @ Stanford - Koret Pavill,"564 Lane A ,Stanford, Ca 94305","564 LANE A ,STANFORD, CA 94305",94305,Pass,94,37.421964,-122.167923,"(37.421964,-122.167923)"
St-Kairos House,"586 Mayfield Av ,Stanford, Ca 94305","586 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,98,37.420187,-122.167652,"(37.420187,-122.167652)"
Traitel Building - Hoover Institute,"435 Lasuen Mall,Stanford, Ca 94305","435 LASUEN MALL,STANFORD, CA 94305",94305,Pass,95,37.427495,-122.167633,"(37.427495,-122.167633)"
Market At Munger,"554 Salvatierra Walk Av ,Stanford, Ca 94305","554 SALVATIERRA WALK AV ,STANFORD, CA 94305",94305,Pass,93,37.423023,-122.167509,"(37.423023,-122.167509)"
Bing Concert Hall Lobby Bar + Staging Room,"327 Lasuen Dr ,Stanford, Ca 94305","327 LASUEN DR ,STANFORD, CA 94305",94305,Pass,93,37.42509,-122.1675,"(37.42509,-122.1675)"
St-Law School Cafe,"559 Nathan Abbott Wy 171,Stanford, Ca 94305","559 NATHAN ABBOTT WY 171,STANFORD, CA 94305",94305,Pass,95,37.423827,-122.167364,"(37.423827,-122.167364)"
St-Phi Kappa Psi,"592 Mayfield Av ,Stanford, Ca 94305","592 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,96,37.419966,-122.167334,"(37.419966,-122.167334)"
St-Stanford Catering @ Munger,"555 Salvatierra Walk ,Stanford, Ca 94305","555 SALVATIERRA WALK ,STANFORD, CA 94305",94305,Pass,87,37.42313,-122.167264,"(37.42313,-122.167264)"
St-Roth House,"713 Santa Ynez St,Stanford, Ca 94305","713 SANTA YNEZ ST,STANFORD, CA 94305",94305,Pass,100,37.419116,-122.167222,"(37.419116,-122.167222)"
Coupa Cafe-Green Library,"571 Escondido Mall ,Stanford, Ca 94305","571 ESCONDIDO MALL ,STANFORD, CA 94305",94305,Pass,92,37.426107,-122.166963,"(37.426107,-122.166963)"
Stanford French House,"610 Mayfield Av ,Stanford, Ca 94305","610 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,94,37.419607,-122.166892,"(37.419607,-122.166892)"
Stanford Haus Mitteleuropa,"620 Mayfield Av ,Stanford, Ca 94305","620 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,98,37.419368,-122.166501,"(37.419368,-122.166501)"
St-Pluto,"717 Dolores St,Stanford, Ca 94305","717 DOLORES ST,STANFORD, CA 94305",94305,Pass,92,37.418217,-122.165914,"(37.418217,-122.165914)"
St-Durand House,"634 Mayfield Av ,Stanford, Ca 94305","634 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,97,37.418888,-122.165904,"(37.418888,-122.165904)"
St-576 Alvarado Row,"576 Alvarado Row ,Stanford, Ca 94305","576 ALVARADO ROW ,STANFORD, CA 94305",94305,Pass,95,37.42218,-122.1659,"(37.42218,-122.1659)"
St-Stern Hall Dining Hall,"618 W Escondido Rd,Stanford, Ca 94305","618 W ESCONDIDO RD,STANFORD, CA 94305",94305,Pass,95,37.424442,-122.165674,"(37.424442,-122.165674)"
Macarthur Park Restaurant,"27 University Av ,Palo Alto, Ca 94301","27 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,85,37.443087,-122.165597,"(37.443087,-122.165597)"
Coupa Cafe - Lytton,"111 Lytton Av,Palo Alto, Ca 94301","111 LYTTON AV,PALO ALTO, CA 94301",94301,Pass,83,37.444615,-122.16538,"(37.444615,-122.16538)"
St-Slavianskii Dom,"650 Mayfield Av ,Stanford, Ca 94305","650 MAYFIELD AV ,STANFORD, CA 94305",94305,Pass,90,37.418525,-122.165366,"(37.418525,-122.165366)"
Gelataio,"121 Lytton Av,Palo Alto, Ca 94301","121 LYTTON AV,PALO ALTO, CA 94301",94301,Pass,97,37.444679,-122.16533,"(37.444679,-122.16533)"
St-Hammarskjold House,"592 Alvarado Row ,Stanford, Ca 94305","592 ALVARADO ROW ,STANFORD, CA 94305",94305,Pass,92,37.421495,-122.16524,"(37.421495,-122.16524)"
Darbar Indian Cuisine,"129 Lytton Av ,Palo Alto, Ca 94301","129 LYTTON AV ,PALO ALTO, CA 94301",94301,Pass,86,37.444796,-122.165139,"(37.444796,-122.165139)"
Cafe Venetia @ Cal Train Station,"95 University Av,Palo Alto, Ca 94301","95 UNIVERSITY AV,PALO ALTO, CA 94301",94301,Pass,98,37.44336,-122.165068,"(37.44336,-122.165068)"
Arrillaga Alumni Center Cafe,"326 Galvez St ,Stanford, Ca 94304","326 GALVEZ ST ,STANFORD, CA 94304",94304,Pass,97,37.43089,-122.164698,"(37.43089,-122.164698)"
Arrillaga Family Dining Commons-2Nd,"489 Arguello Wy,Stanford, Ca 94305","489 ARGUELLO WY,STANFORD, CA 94305",94305,Pass,92,37.425443,-122.164081,"(37.425443,-122.164081)"
The Patio @ Rudy'S,"412 Emerson St ,Palo Alto, Ca 94301","412 EMERSON ST ,PALO ALTO, CA 94301",94301,Pass,87,37.445063,-122.16395,"(37.445063,-122.16395)"
Evvia,"420 Emerson St ,Palo Alto, Ca 94301","420 EMERSON ST ,PALO ALTO, CA 94301",94301,Pass,91,37.445056,-122.163841,"(37.445056,-122.163841)"
Sheraton Palo Alto-Main Kitchen,"625 El Camino Real,Palo Alto, Ca 94301","625 EL CAMINO REAL,PALO ALTO, CA 94301",94301,Pass,83,37.441462,-122.16383,"(37.441462,-122.16383)"
Morsey'S Farmhouse,"125 University Av ,Palo Alto, Ca 94301","125 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,87,37.444063,-122.163783,"(37.444063,-122.163783)"
Aquarius Theater,"430 Emerson St ,Palo Alto, Ca 94301","430 EMERSON ST ,PALO ALTO, CA 94301",94301,Pass,95,37.444957,-122.163696,"(37.444957,-122.163696)"
Palantir Cafe,"116 University Av ,Palo Alto, Ca 94301","116 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,86,37.443699,-122.163565,"(37.443699,-122.163565)"
Lemonade,"151 University Av ,Palo Alto, Ca 94301","151 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,93,37.444377,-122.16349,"(37.444377,-122.16349)"
T4,"165 University Av D,Palo Alto, Ca 94301","165 UNIVERSITY AV D,PALO ALTO, CA 94301",94301,Pass,89,37.444511,-122.163369,"(37.444511,-122.163369)"
Carem,"435 Emerson St,Palo Alto, Ca 94301","435 EMERSON ST,PALO ALTO, CA 94301",94301,Pass,97,37.445196,-122.163274,"(37.445196,-122.163274)"
Bird Dog Restaurant,"420 Ramona St,Palo Alto, Ca 94301","420 RAMONA ST,PALO ALTO, CA 94301",94301,Pass,81,37.445675,-122.163216,"(37.445675,-122.163216)"
Patxi'S Pizza,"441 Emerson St ,Palo Alto, Ca 94301","441 EMERSON ST ,PALO ALTO, CA 94301",94301,Pass,53,37.445227,-122.163209,"(37.445227,-122.163209)"
St-Terra House,"539 Cowell Ln,Stanford, Ca 94305","539 COWELL LN,STANFORD, CA 94305",94305,Pass,91,37.421491,-122.163207,"(37.421491,-122.163207)"
Westin Palo Alto-Restaurant Soleil,"675 El Camino Real ,Palo Alto, Ca 94301","675 EL CAMINO REAL ,PALO ALTO, CA 94301",94301,Pass,97,37.440464,-122.163192,"(37.440464,-122.163192)"
St-Wilbur Hall,"658 Escondido Rd,Stanford, Ca 94306","658 ESCONDIDO RD,STANFORD, CA 94306",94306,Pass,88,37.423955,-122.163145,"(37.423955,-122.163145)"
Wahlburgers,"185 University Av ,Palo Alto, Ca 94301","185 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,77,37.444731,-122.163129,"(37.444731,-122.163129)"
Verve Coffee Roasters,"162 University Av,Palo Alto, Ca 94301","162 UNIVERSITY AV,PALO ALTO, CA 94301",94301,Pass,91,37.444146,-122.163086,"(37.444146,-122.163086)"
Jing Jing Restaurant,"443 Emerson St ,Palo Alto, Ca 94301","443 EMERSON ST ,PALO ALTO, CA 94301",94301,Pass,57,37.445147,-122.163066,"(37.445147,-122.163066)"
Amber Dhara,"150 University Av ,Palo Alto, Ca 94301","150 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,78,37.444083,-122.16297,"(37.444083,-122.16297)"
Rangoon Ruby Burmese Cuisine,"445 Emerson St,Palo Alto, Ca 94301","445 EMERSON ST,PALO ALTO, CA 94301",94301,Pass,80,37.445213,-122.162949,"(37.445213,-122.162949)"
Ruby Sushi,"201 University Av ,Palo Alto, Ca 94301","201 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,65,37.444962,-122.162921,"(37.444962,-122.162921)"
The Clement Hotel - Kitchen,"711 El Camino Real,Palo Alto, Ca 94301","711 EL CAMINO REAL,PALO ALTO, CA 94301",94301,Pass,93,37.440166,-122.162896,"(37.440166,-122.162896)"
Stanford Theatre Foundation,"221 University Av ,Palo Alto, Ca 94301","221 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,86,37.445375,-122.162878,"(37.445375,-122.162878)"
Garden Fresh,"460 Ramona St ,Palo Alto, Ca 94301","460 RAMONA ST ,PALO ALTO, CA 94301",94301,Pass,88,37.445573,-122.162866,"(37.445573,-122.162866)"
Casper Family Dining Commons,"662 Escondido Rd ,Stanford, Ca 94305","662 ESCONDIDO RD ,STANFORD, CA 94305",94305,Pass,93,37.424586,-122.162864,"(37.424586,-122.162864)"
St-Dining @ Branner Hall Cafe,"655 Escondido Rd ,Stanford, Ca 94305","655 ESCONDIDO RD ,STANFORD, CA 94305",94305,Pass,92,37.425511,-122.162854,"(37.425511,-122.162854)"
Sprout Cafe,"168 University Av ,Palo Alto, Ca 94301","168 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,78,37.444219,-122.162835,"(37.444219,-122.162835)"
Pampas Palo Alto,"529 Alma St ,Palo Alto, Ca 94301","529 ALMA ST ,PALO ALTO, CA 94301",94301,Pass,65,37.443071,-122.16282,"(37.443071,-122.16282)"
Steam Restaurant,"209 University Av ,Palo Alto, Ca 94301","209 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,71,37.445096,-122.162786,"(37.445096,-122.162786)"
St-Kappa Alpha Theta,"585 Cowell Ln ,Stanford, Ca 94305","585 COWELL LN ,STANFORD, CA 94305",94305,Pass,95,37.420887,-122.162771,"(37.420887,-122.162771)"
Commons Bldg Catering Kitchen,"641 Knight Wy N304,Stanford, Ca 943056090","641 KNIGHT WY N304,STANFORD, CA 943056090",56090,Pass,89,37.428561,-122.162767,"(37.428561,-122.162767)"
Palantir – 542 High St Servery,"542 High St,Palo Alto, Ca 94301","542 HIGH ST,PALO ALTO, CA 94301",94301,Pass,73,37.443389,-122.162749,"(37.443389,-122.162749)"
St- Pi  Beta Phi,"517 Cowell Ln ,Stanford, Ca 94305","517 COWELL LN ,STANFORD, CA 94305",94305,Pass,96,37.421849,-122.162675,"(37.421849,-122.162675)"
Teaquation & Tonic,"115 Hamilton Av,Palo Alto, Ca 94301","115 HAMILTON AV,PALO ALTO, CA 94301",94301,Pass,90,37.442995,-122.16267,"(37.442995,-122.16267)"
Tap Room,"233 University Av ,Palo Alto, Ca 94301","233 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,96,37.445338,-122.162547,"(37.445338,-122.162547)"
Bare Bowls,"530 Emerson St Ste 100,Palo Alto, Ca 94301","530 EMERSON ST STE 100,PALO ALTO, CA 94301",94301,Pass,94,37.444132,-122.162372,"(37.444132,-122.162372)"
The Redwood @ Avenidas,"450 Bryant St ,Palo Alto, Ca 94301","450 BRYANT ST ,PALO ALTO, CA 94301",94301,Pass,93,37.446086,-122.162372,"(37.446086,-122.162372)"
Pizza My Heart,"220 University Av,Palo Alto, Ca 94301","220 UNIVERSITY AV,PALO ALTO, CA 94301",94301,Pass,83,37.444848,-122.162267,"(37.444848,-122.162267)"
Knight Management Center,"645 Knight Wy ,Stanford, Ca 94305","645 KNIGHT WY ,STANFORD, CA 94305",94305,Pass,100,37.428514,-122.162254,"(37.428514,-122.162254)"
Kanpai Restaurant,"330 Lytton Av ,Palo Alto, Ca 94301","330 LYTTON AV ,PALO ALTO, CA 94301",94301,Pass,83,37.447025,-122.162178,"(37.447025,-122.162178)"
Oren'S Hummus Shop,"261 University Av ,Palo Alto, Ca 94301","261 UNIVERSITY AV ,PALO ALTO, CA 94301",94301,Pass,95,37.445717,-122.162173,"(37.445717,-122.162173)"
Palantir 100H - 3Rd Floor Break Room,"100 Hamilton Av,Palo Alto, Ca 94301","100 HAMILTON AV,PALO ALTO, CA 94301",94301,Pass,95,37.442625,-122.162163,"(37.442625,-122.162163)"
116 Hamilton - Floor Break Room,"116 Hamilton Av,Palo Alto, Ca 94301","116 HAMILTON AV,PALO ALTO, CA 94301",94301,Pass,96,37.442918,-122.162162,"(37.442918,-122.162162)"
Salvaje,"369 Lytton Av ,Palo Alto, Ca 94303","369 LYTTON AV ,PALO ALTO, CA 94303",94303,Pass,96,37.447671,-122.162161,"(37.447671,-122.162161)"
Local Union 271 -  Bar,"271 University Av,Palo Alto, Ca 94301","271 UNIVERSITY AV,PALO ALTO, CA 94301",94301,Pass,88,37.445798,-122.162092,"(37.445798,-122.162092)"
Mendocino Farms Sandwich Market,"167 Hamilton Av Ste 100,Palo Alto, Ca 94301","167 HAMILTON AV STE 100,PALO ALTO, CA 94301",94301,Pass,87,37.443702,-122.162087,"(37.443702,-122.162087)"
Gravity,"544 Emerson St ,Palo Alto, Ca 94301","544 EMERSON ST ,PALO ALTO, CA 94301",94301,Pass,77,37.443983,-122.162083,"(37.443983,-122.162083)"
St-Schwab Residential Center-Gsb,"680 Serra St ,Stanford, Ca 94305","680 SERRA ST ,STANFORD, CA 94305",94305,Pass,92,37.4267,-122.162048,"(37.4267,-122.162048)"
Scotty'S,"548 Emerson St ,Palo Alto, Ca 94301","548 EMERSON ST ,PALO ALTO, CA 94301",94301,Pass,76,37.44398,-122.162008,"(37.44398,-122.162008)"
Jimmy V'S Sports Center,"641 Campus Dr ,Stanford, Ca 943056150","641 CAMPUS DR ,STANFORD, CA 943056150",56150,Pass,81,37.430101,-122.161922,"(37.430101,-122.161922)"
"Wine Room, The","520 Ramona St ,Palo Alto, Ca 94301","520 RAMONA ST ,PALO ALTO, CA 94301",94301,Pass,90,37.444831,-122.161909,"(37.444831,-122.161909)"
650H 2Nd Floor Break Room,"650 High St,Palo Alto, Ca 94301","650 HIGH ST,PALO ALTO, CA 94301",94301,Pass,93,37.442835,-122.161857,"(37.442835,-122.161857)"
Peninsula Fountain & Grill,"566 Emerson St ,Palo Alto, Ca 94301","566 EMERSON ST ,PALO ALTO, CA 94301",94301,Pass,84,37.443867,-122.161802,"(37.443867,-122.161802)"
St-Zeta Alpha Pi,"710 Bowdoin,Stanford, Ca 94305","710 BOWDOIN,STANFORD, CA 94305",94305,Pass,92,37.42127,-122.161776,"(37.42127,-122.161776)"
Thaiphoon Restaurant,"543 Emerson St,Palo Alto, Ca 94301","543 EMERSON ST,PALO ALTO, CA 94301",94301,Pass,88,37.444413,-122.161757,"(37.444413,-122.161757)"
164 Hamilton - Break Room,"164 Hamilton Av,Palo Alto, Ca 94301","164 HAMILTON AV,PALO ALTO, CA 94301",94301,Pass,97,37.443468,-122.16175,"(37.443468,-122.16175)"
